n;xi_n;eta_n
2;1128;1144
3;1693;1206
4;2059;1239
5;2326;1260
6;2534;1274
7;2704;1284
8;2847;1292
9;2970;1298
10;3078;1303
11;3173;1307
12;3259;1311
13;3336;1313
14;3407;1316
15;3472;1318
16;3532;1320
17;3588;1322
18;3640;1323
19;3689;1324
20;3735;1326
21;3778;1327
22;3819;1328
23;3858;1329
24;3895;1330
25;3931;1330
26;3964;1331
27;3997;1332
28;4027;1332
29;4057;1333
30;4086;1333
31;4113;1334
32;4139;1334
33;4165;1335
34;4189;1335
35;4213;1336
36;4236;1336
37;4259;1336
38;4280;1337
39;4301;1337
40;4322;1337
41;4341;1338
42;4361;1338
43;4379;1338
44;4398;1338
45;4415;1339
46;4433;1339
47;4450;1339
48;4466;1339
49;4482;1339
50;4498;1340
